Customer_ID,Customer_Name,Gender,Age,City,Customer_Segment
C0001,Customer 0001,Female,56,Delhi,Consumer
C0002,Customer 0002,Male,53,Hyderabad,Consumer
C0003,Customer 0003,Female,45,Bengaluru,Consumer
C0004,Customer 0004,Female,60,Hyderabad,Consumer
C0005,Customer 0005,Male,26,Delhi,Small Business
C0006,Customer 0006,Other,61,Bengaluru,Consumer
C0007,Customer 0007,Female,58,Coimbatore,Corporate
C0008,Customer 0008,Female,43,Mumbai,Consumer
C0009,Customer 0009,Male,53,Kochi,Small Business
C0010,Customer 0010,Male,43,Pune,Consumer
C0011,Customer 0011,Male,32,Hyderabad,Small Business
C0012,Customer 0012,Female,56,Bengaluru,Consumer
C0013,Customer 0013,Female,31,Pune,Consumer
C0014,Customer 0014,Female,34,Hyderabad,Corporate
C0015,Customer 0015,Male,43,Bengaluru,Consumer
C0016,Customer 0016,Male,57,Coimbatore,Consumer
C0017,Customer 0017,Female,37,Mumbai,Small Business
C0018,Customer 0018,Male,42,Chennai,Small Business
C0019,Customer 0019,Female,22,Mumbai,Consumer
C0020,Customer 0020,Female,26,Mumbai,Consumer
C0021,Customer 0021,Female,23,Kochi,Corporate
C0022,Customer 0022,Male,24,Pune,Small Business
C0023,Customer 0023,Other,59,Bengaluru,Corporate
C0024,Customer 0024,Female,58,Bengaluru,Consumer
C0025,Customer 0025,Female,57,Delhi,Small Business
C0026,Customer 0026,Male,23,Chennai,Consumer
C0027,Customer 0027,Male,24,Hyderabad,Corporate
C0028,Customer 0028,Male,33,Bengaluru,Consumer
C0029,Customer 0029,Male,45,Chennai,Small Business
C0030,Customer 0030,Female,35,Coimbatore,Consumer
C0031,Customer 0031,Female,42,Chennai,Consumer
C0032,Customer 0032,Other,28,Chennai,Small Business
C0033,Customer 0033,Male,53,Coimbatore,Consumer
C0034,Customer 0034,Male,34,Bengaluru,Corporate
C0035,Customer 0035,Male,23,Kochi,Consumer
C0036,Customer 0036,Male,53,Chennai,Small Business
C0037,Customer 0037,Male,60,Bengaluru,Consumer
C0038,Customer 0038,Male,21,Chennai,Consumer
C0039,Customer 0039,Male,40,Pune,Consumer
C0040,Customer 0040,Female,57,Delhi,Consumer
C0041,Customer 0041,Male,52,Mumbai,Consumer
C0042,Customer 0042,Female,58,Bengaluru,Small Business
C0043,Customer 0043,Female,39,Chennai,Small Business
C0044,Customer 0044,Male,37,Delhi,Small Business
C0045,Customer 0045,Female,52,Bengaluru,Consumer
C0046,Customer 0046,Female,27,Delhi,Consumer
C0047,Customer 0047,Male,31,Pune,Consumer
C0048,Customer 0048,Male,47,Kochi,Small Business
C0049,Customer 0049,Female,50,Mumbai,Corporate
C0050,Customer 0050,Male,26,Chennai,Consumer
C0051,Customer 0051,Male,43,Hyderabad,Small Business
C0052,Customer 0052,Male,37,Kochi,Consumer
C0053,Customer 0053,Female,43,Delhi,Consumer
C0054,Customer 0054,Female,63,Delhi,Consumer
C0055,Customer 0055,Female,24,Mumbai,Consumer
C0056,Customer 0056,Female,64,Bengaluru,Small Business
