inventory_id,sku,stock_level,lead_time_days,order_quantity
1,SKU0,58,7,96
2,SKU1,53,30,37
3,SKU2,1,10,88
4,SKU3,23,13,59
5,SKU4,5,3,56
6,SKU5,90,27,66
7,SKU6,11,15,58
8,SKU7,93,17,11
9,SKU8,5,10,15
10,SKU9,14,27,83
11,SKU10,51,13,80
12,SKU11,46,23,60
13,SKU12,100,30,85
14,SKU13,80,8,48
15,SKU14,54,29,78
16,SKU15,9,8,69
17,SKU16,2,5,78
18,SKU17,45,17,85
19,SKU18,10,10,46
20,SKU19,48,11,94
21,SKU20,27,12,68
22,SKU21,69,25,7
23,SKU22,71,1,63
24,SKU23,84,5,29
25,SKU24,4,26,2
26,SKU25,82,11,52
27,SKU26,59,16,48
28,SKU27,47,9,62
29,SKU28,48,15,24
30,SKU29,45,5,67
31,SKU30,60,26,35
32,SKU31,6,17,44
33,SKU32,89,13,64
34,SKU33,4,17,95
35,SKU34,1,26,21
36,SKU35,42,27,85
37,SKU36,18,23,28
38,SKU37,25,8,21
39,SKU38,69,1,88
40,SKU39,78,29,34
41,SKU40,90,20,39
42,SKU41,64,19,38
43,SKU42,22,27,57
44,SKU43,36,29,85
45,SKU44,13,19,72
46,SKU45,93,7,52
47,SKU46,92,29,6
48,SKU47,4,15,51
49,SKU48,30,16,9
50,SKU49,97,24,9
51,SKU50,31,23,82
52,SKU51,100,4,52
53,SKU52,64,11,11
54,SKU53,96,25,54
55,SKU54,33,22,61
56,SKU55,97,11,11
57,SKU56,25,23,83
58,SKU57,5,18,51
59,SKU58,10,5,44
60,SKU59,100,16,26
61,SKU60,41,27,72
62,SKU61,32,23,36
63,SKU62,86,2,40
64,SKU63,54,19,10
65,SKU64,73,27,75
66,SKU65,57,24,54
67,SKU66,13,17,19
68,SKU67,12,9,71
69,SKU68,0,8,58
70,SKU69,95,1,27
71,SKU70,10,12,22
72,SKU71,76,2,26
73,SKU72,57,29,77
74,SKU73,17,25,66
75,SKU74,41,6,1
76,SKU75,16,20,56
77,SKU76,38,1,22
78,SKU77,96,28,57
79,SKU78,5,4,51
80,SKU79,31,25,20
81,SKU80,39,14,41
82,SKU81,48,6,8
83,SKU82,42,19,72
84,SKU83,65,24,7
85,SKU84,73,26,80
86,SKU85,15,18,66
87,SKU86,32,14,22
88,SKU87,5,7,55
89,SKU88,60,18,85
90,SKU89,90,1,27
91,SKU90,66,18,96
92,SKU91,98,22,85
93,SKU92,90,25,10
94,SKU93,63,17,66
95,SKU94,77,26,72
96,SKU95,15,14,26
97,SKU96,67,2,32
98,SKU97,46,19,4
99,SKU98,53,1,27
100,SKU99,55,8,59
101,SKU100,56,25,34
102,SKU101,74,11,41
103,SKU102,56,30,62
104,SKU103,35,24,95
105,SKU104,57,7,11
106,SKU105,2,4,22
107,SKU106,45,14,87
108,SKU107,61,2,51
109,SKU108,73,20,42
110,SKU109,13,20,74
111,SKU110,63,15,27
112,SKU111,0,20,152
113,SKU112,31,23,48
114,SKU113,66,19,93
115,SKU114,147,17,75
116,SKU115,33,5,27
117,SKU116,0,19,80
118,SKU117,100,21,85
119,SKU118,0,30,41
120,SKU119,55,29,75
121,SKU120,28,12,94
122,SKU121,49,24,71
123,SKU122,80,17,22
124,SKU123,58,14,87
125,SKU124,22,11,11
126,SKU125,23,30,43
127,SKU126,38,35,91
128,SKU127,46,9,35
129,SKU128,55,31,76
130,SKU129,62,17,52
131,SKU130,0,13,50
132,SKU131,22,13,38
133,SKU132,44,19,38
134,SKU133,34,38,63
135,SKU134,73,15,78
136,SKU135,94,10,52
137,SKU136,0,19,50
138,SKU137,42,3,80
139,SKU138,15,14,57
140,SKU139,83,10,50
141,SKU140,33,36,15
142,SKU141,6,22,83
143,SKU142,116,19,15
144,SKU143,11,27,31
145,SKU144,18,14,64
146,SKU145,66,13,18
147,SKU146,0,5,73
148,SKU147,39,20,72
149,SKU148,36,10,48
150,SKU149,102,15,0
151,SKU150,37,30,19
152,SKU151,63,3,65
153,SKU152,123,16,63
154,SKU153,23,18,73
155,SKU154,27,12,41
156,SKU155,44,26,42
157,SKU156,32,21,37
158,SKU157,39,26,30
159,SKU158,53,25,35
160,SKU159,0,20,0
161,SKU160,67,17,63
162,SKU161,20,5,5
163,SKU162,0,17,0
164,SKU163,60,10,91
165,SKU164,66,26,37
166,SKU165,61,4,53
167,SKU166,13,10,34
168,SKU167,27,17,59
169,SKU168,39,12,18
170,SKU169,69,21,65
171,SKU170,23,19,75
172,SKU171,75,11,38
173,SKU172,85,13,73
