manufacturing_id,sku,supplier_id,location,supplier_lead_time_days,production_volume,manufacturing_lead_time_days,manufacturing_cost,inspection_result,defect_rate
1,SKU0,3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251
2,SKU1,3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706
3,SKU2,1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229
4,SKU3,5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775
5,SKU4,1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002
6,SKU5,4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617
7,SKU6,3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355
8,SKU7,4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506
9,SKU8,4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961
10,SKU9,2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585
11,SKU10,5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424
12,SKU11,2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943
13,SKU12,4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912
14,SKU13,5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386
15,SKU14,1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937
16,SKU15,1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549
17,SKU16,1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049
18,SKU17,1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761
19,SKU18,2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264
20,SKU19,4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029
21,SKU20,1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539
22,SKU21,5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149
23,SKU22,4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116
24,SKU23,5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734
25,SKU24,2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728
26,SKU25,4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183
27,SKU26,2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923
28,SKU27,5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373
29,SKU28,1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672
30,SKU29,1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488
31,SKU30,4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932
32,SKU31,3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746
33,SKU32,3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113
34,SKU33,5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923
35,SKU34,1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549
36,SKU35,1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811
37,SKU36,2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537
38,SKU37,3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113
39,SKU38,5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074
40,SKU39,2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816
41,SKU40,1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566
42,SKU41,4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596
43,SKU42,5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948
44,SKU43,5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977
45,SKU44,2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882
46,SKU45,2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106
47,SKU46,3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033
48,SKU47,1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137
49,SKU48,2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038
