order_id,sku,order_quantity,units_sold,customer_demographic
1,SKU0,96,802,Non-binary
2,SKU1,37,736,Female
3,SKU2,88,8,Unknown
4,SKU3,59,83,Non-binary
5,SKU4,56,871,Non-binary
6,SKU5,66,147,Non-binary
7,SKU6,58,65,Male
8,SKU7,11,426,Female
9,SKU8,15,150,Female
10,SKU9,83,980,Unknown
11,SKU10,80,996,Non-binary
12,SKU11,60,960,Female
13,SKU12,85,336,Unknown
14,SKU13,48,249,Male
15,SKU14,78,562,Non-binary
16,SKU15,69,469,Non-binary
17,SKU16,78,280,Female
18,SKU17,85,126,Female
19,SKU18,46,620,Unknown
20,SKU19,94,187,Unknown
21,SKU20,68,320,Unknown
22,SKU21,7,601,Unknown
23,SKU22,63,884,Unknown
24,SKU23,29,391,Unknown
25,SKU24,2,209,Male
26,SKU25,52,142,Male
27,SKU26,48,353,Male
28,SKU27,62,352,Unknown
29,SKU28,24,394,Female
30,SKU29,67,253,Female
31,SKU30,35,327,Male
32,SKU31,44,168,Male
33,SKU32,64,781,Unknown
34,SKU33,95,616,Non-binary
35,SKU34,21,602,Unknown
36,SKU35,85,449,Female
37,SKU36,28,963,Female
38,SKU37,21,963,Female
39,SKU38,88,705,Non-binary
40,SKU39,34,176,Female
41,SKU40,39,933,Female
42,SKU41,38,556,Female
43,SKU42,57,155,Female
44,SKU43,85,598,Unknown
45,SKU44,72,919,Female
46,SKU45,52,24,Male
47,SKU46,6,859,Non-binary
48,SKU47,51,910,Male
49,SKU48,9,29,Non-binary
50,SKU49,9,99,Unknown
51,SKU50,82,633,Female
52,SKU51,52,154,Male
53,SKU52,11,820,Male
54,SKU53,54,242,Male
55,SKU54,61,622,Non-binary
56,SKU55,11,701,Male
57,SKU56,83,93,Non-binary
58,SKU57,51,227,Unknown
59,SKU58,44,896,Non-binary
60,SKU59,26,484,Non-binary
61,SKU60,72,380,Female
62,SKU61,36,117,Unknown
63,SKU62,40,270,Unknown
64,SKU63,10,246,Non-binary
65,SKU64,75,134,Female
66,SKU65,54,457,Male
67,SKU66,19,704,Female
68,SKU67,71,513,Unknown
69,SKU68,58,163,Non-binary
70,SKU69,27,511,Non-binary
71,SKU70,22,32,Female
72,SKU71,26,637,Female
73,SKU72,77,478,Non-binary
74,SKU73,66,375,Male
75,SKU74,1,904,Female
76,SKU75,56,106,Non-binary
77,SKU76,22,241,Male
78,SKU77,57,359,Unknown
79,SKU78,51,946,Unknown
80,SKU79,20,198,Non-binary
81,SKU80,41,872,Unknown
82,SKU81,8,774,Unknown
83,SKU82,72,336,Unknown
84,SKU83,7,663,Unknown
85,SKU84,80,618,Unknown
86,SKU85,66,25,Female
87,SKU86,22,223,Unknown
88,SKU87,55,79,Male
89,SKU88,85,737,Male
90,SKU89,27,134,Unknown
91,SKU90,96,320,Non-binary
92,SKU91,85,916,Male
93,SKU92,10,276,Male
94,SKU93,66,114,Unknown
95,SKU94,72,987,Unknown
96,SKU95,26,672,Unknown
97,SKU96,32,324,Non-binary
98,SKU97,4,62,Male
99,SKU98,27,913,Female
100,SKU99,59,627,Unknown
101,SKU100,34,604,Female
102,SKU101,41,568,Non-binary
103,SKU102,62,426,Male
104,SKU103,95,793,Male
105,SKU104,11,489,Female
106,SKU105,22,362,Male
107,SKU106,87,479,Female
108,SKU107,51,99,Male
109,SKU108,42,26,Unknown
110,SKU109,74,345,Male
111,SKU110,27,644,Male
112,SKU111,152,999,Female
113,SKU112,48,191,Non-binary
114,SKU113,93,357,Non-binary
115,SKU114,75,897,Female
116,SKU115,27,524,Female
117,SKU116,80,259,Female
118,SKU117,85,536,Unknown
119,SKU118,41,411,Male
120,SKU119,75,547,Unknown
121,SKU120,94,748,Male
122,SKU121,71,280,Non-binary
123,SKU122,22,744,Male
124,SKU123,87,864,Non-binary
125,SKU124,11,484,Unknown
126,SKU125,43,482,Female
127,SKU126,91,971,Unknown
128,SKU127,35,80,Female
129,SKU128,76,230,Non-binary
130,SKU129,52,152,Unknown
131,SKU130,50,997,Male
132,SKU131,38,583,Unknown
133,SKU132,38,227,Unknown
134,SKU133,63,319,Unknown
135,SKU134,78,604,Male
136,SKU135,52,0,Male
137,SKU136,50,744,Non-binary
138,SKU137,80,83,Unknown
139,SKU138,57,273,Unknown
140,SKU139,50,396,Female
141,SKU140,15,287,Female
142,SKU141,83,649,Male
143,SKU142,15,470,Female
144,SKU143,31,0,Male
145,SKU144,64,451,Non-binary
146,SKU145,18,615,Non-binary
147,SKU146,73,499,Female
148,SKU147,72,626,Non-binary
149,SKU148,48,50,Male
150,SKU149,0,1039,Male
151,SKU150,19,1019,Female
152,SKU151,65,559,Non-binary
153,SKU152,63,273,Male
154,SKU153,73,326,Unknown
155,SKU154,41,970,Male
156,SKU155,42,525,Unknown
157,SKU156,37,622,Male
158,SKU157,30,785,Non-binary
159,SKU158,35,576,Male
160,SKU159,0,566,Female
161,SKU160,63,325,Male
162,SKU161,5,343,Unknown
163,SKU162,0,324,Female
164,SKU163,91,274,Male
165,SKU164,37,476,Non-binary
166,SKU165,53,555,Unknown
167,SKU166,34,667,Non-binary
168,SKU167,59,983,Male
169,SKU168,18,501,Female
170,SKU169,65,470,Female
171,SKU170,75,264,Unknown
172,SKU171,38,431,Unknown
173,SKU172,73,76,Unknown
174,SKU173,49,636,Unknown
175,SKU174,46,887,Unknown
176,SKU175,73,822,Female
177,SKU176,27,923,Male
178,SKU177,69,0,Female
179,SKU178,17,0,Unknown
180,SKU179,38,532,Male
181,SKU180,90,757,Non-binary
182,SKU181,73,193,Male
183,SKU182,12,0,Non-binary
184,SKU183,43,394,Female
185,SKU184,14,625,Non-binary
