sku,product_type,price,availability,number_of_products_sold,revenue_generated
SKU0,haircare,69.80800554211577,55,802,8661.996792392383
SKU1,skincare,14.84352327508434,95,736,7460.900065445849
SKU2,haircare,11.319683293090566,34,8,9577.74962586873
SKU3,skincare,61.163343016437736,68,83,7766.836425685233
SKU4,skincare,4.805496036345893,26,871,2686.505151567447
SKU5,haircare,1.6999760138659377,87,147,2828.348745975759
SKU6,skincare,4.078332863107945,48,65,7823.476559531737
SKU7,cosmetics,42.95838438246007,59,426,8496.103813089838
SKU8,cosmetics,68.71759674852733,78,150,7517.363210631127
SKU9,skincare,64.01573294127854,35,980,4971.145987585558
SKU10,skincare,15.707795681912138,11,996,2330.965802091949
SKU11,skincare,90.63545998228868,95,960,6099.944115581452
SKU12,haircare,71.21338907536008,41,336,2873.7414460214413
SKU13,skincare,16.160393317379977,5,249,4052.738416237866
SKU14,skincare,99.1713286386242,26,562,8653.570926469802
SKU15,skincare,36.98924492862691,94,469,5442.086785397673
SKU16,skincare,7.547172109791272,74,280,6453.797968176285
SKU17,cosmetics,81.46253436923702,82,126,2629.396434845262
SKU18,haircare,36.443627770460935,23,620,9364.673505076173
SKU19,skincare,51.12387008796474,100,187,2553.495584991215
SKU20,skincare,96.34107243996338,22,320,8128.027696851192
SKU21,cosmetics,84.89386898495083,60,601,7087.052696357437
SKU22,haircare,27.67978088650196,55,884,2390.8078665561734
SKU23,cosmetics,4.324341185864164,30,391,8858.367571011484
SKU24,haircare,4.156308359311108,32,209,9049.077860939897
SKU25,haircare,39.62934398509263,73,142,2174.777054350654
SKU26,haircare,97.44694661789282,9,353,3716.493325894037
SKU27,cosmetics,92.55736081240202,42,352,2686.457223575984
SKU28,cosmetics,2.397274705597141,12,394,6117.324615083992
SKU29,cosmetics,63.44755918520733,3,253,8318.903194617178
SKU30,haircare,8.022859210526393,10,327,2766.342366866089
SKU31,skincare,50.8473930517187,28,168,9655.135102719398
SKU32,skincare,79.20993601565672,43,781,9571.55048732782
SKU33,cosmetics,64.7954350001556,63,616,5149.9983504080365
SKU34,skincare,37.46759232984246,96,602,9061.710895507724
SKU35,cosmetics,84.95778681635043,11,449,6541.329344802465
SKU36,skincare,9.813002578754052,34,963,7573.402457848733
SKU37,skincare,23.39984475261435,5,963,2438.339930470029
SKU38,cosmetics,52.0759306827078,75,705,9692.318040218432
SKU39,skincare,19.127477265823256,26,176,1912.4656631007608
SKU40,skincare,80.54142417094033,97,933,5724.959350456265
SKU41,skincare,99.11329161531717,35,556,5521.205259010972
SKU42,skincare,46.52916761451677,98,155,1839.609425856764
SKU43,haircare,11.74327177630924,6,598,5737.425599119023
SKU44,cosmetics,51.35579091311039,34,919,7152.2860494355145
SKU45,haircare,33.78413803306551,1,24,5267.956807510521
SKU46,haircare,27.0822071998889,75,859,2556.767360633596
SKU47,skincare,95.71213588093607,93,910,7089.474249934186
SKU48,haircare,76.03554442689172,28,29,7397.07100458718
SKU49,cosmetics,78.89791320564004,19,99,8001.613206519002
SKU50,cosmetics,14.203484264803022,91,633,5910.885389668899
SKU51,haircare,26.70076097246173,61,154,9866.465457979695
SKU52,skincare,98.03182965646508,1,820,9435.76260891213
SKU53,skincare,30.34147071121421,93,242,8232.334829425821
SKU54,haircare,31.146243160240854,11,622,6088.021479940859
SKU55,haircare,79.85505834078943,16,701,2925.6751703038126
SKU56,skincare,20.986386037043378,90,93,4767.020484344137
SKU57,haircare,49.26320535073416,65,227,1605.8669003924058
SKU58,skincare,59.84156137728931,81,896,2021.149810337108
SKU59,cosmetics,63.828398347710966,30,484,1061.618523013288
SKU60,skincare,17.028027920188702,16,380,8864.084349586436
SKU61,haircare,52.02874990329492,23,117,6885.589350896253
SKU62,cosmetics,72.79635395558736,89,270,3899.746833729224
SKU63,skincare,13.017376785287857,55,246,4256.949140850225
SKU64,skincare,89.63409560813533,11,134,8458.730878367178
SKU65,skincare,33.69771720664313,72,457,8354.579686481995
SKU66,skincare,26.03486977396209,52,704,8367.721618020154
SKU67,skincare,87.75543235400107,16,513,9473.798032508335
SKU68,haircare,37.93181238279032,29,163,3550.218432780992
SKU69,skincare,54.86552851706979,62,511,1752.3810874841247
SKU70,haircare,47.914541824058766,90,32,7014.887987203389
SKU71,cosmetics,6.381533162747966,14,637,8180.337085425443
SKU72,cosmetics,90.20442752052809,88,478,2633.121981312256
SKU73,cosmetics,83.8510176813046,41,375,7910.886916140686
SKU74,haircare,3.170011413566155,64,904,5709.945295969287
SKU75,skincare,92.99688423397066,29,106,1889.073589779335
SKU76,haircare,69.10879954743032,23,241,5328.375984297758
SKU77,haircare,57.44974295897148,14,359,2483.7601775427947
SKU78,haircare,6.306883176111915,50,946,1292.4584179377562
SKU79,haircare,57.05703122110322,56,198,7888.723268427081
SKU80,skincare,91.12831835044432,75,872,8651.672682982065
SKU81,haircare,72.81920693031822,9,774,4384.413400045863
SKU82,skincare,17.034930739467917,13,336,2943.3818676094515
SKU83,haircare,68.91124621160633,82,663,2411.754632110491
SKU84,haircare,89.10436729210225,99,618,2048.2900998487103
SKU85,cosmetics,76.96299441519388,83,25,8684.613059253858
SKU86,skincare,19.99817694040422,18,223,1229.5910285649834
SKU87,haircare,80.41403665035574,24,79,5133.846701086692
SKU88,cosmetics,75.27040697572501,58,737,9444.74203306298
SKU89,cosmetics,97.76008558193868,10,134,5924.682566853231
SKU90,skincare,13.881913501359142,56,320,9592.633570280312
SKU91,cosmetics,62.11196546396179,90,916,1935.206793507599
SKU92,cosmetics,47.71423307582023,44,276,2100.1297546259366
SKU93,haircare,69.29083100290549,88,114,4531.4021336919095
SKU94,cosmetics,3.037688724631414,97,987,7888.356546661873
SKU95,haircare,77.90392721944775,65,672,7386.363944048664
SKU96,cosmetics,24.42313142037338,29,324,7698.424765632117
SKU97,haircare,3.526111259143416,56,62,4370.916579984536
SKU98,skincare,19.7546048668786,43,913,8525.952559683526
SKU99,haircare,68.51783269927664,17,627,9185.185829181704
SKU100,cosmetics,32.398611,64,604,9497.060039
SKU101,cosmetics,67.998945,48,568,6909.961112
SKU102,haircare,72.363758,54,426,4957.30412
SKU103,haircare,56.940132,2,793,5292.769098
SKU104,cosmetics,52.161962,39,489,371.563682
SKU105,haircare,38.305036,27,362,4709.849968
SKU106,cosmetics,0.0,48,479,12473.956235
SKU107,haircare,51.847124,49,99,7923.281627
SKU108,haircare,39.399361,42,26,9013.806113
SKU109,haircare,69.823476,48,345,4518.371419
SKU110,cosmetics,49.10324,54,644,4827.335908
SKU111,haircare,51.055262,62,999,3962.533642
SKU112,skincare,36.607017,51,191,4865.632145
SKU113,haircare,76.311227,1,357,6275.97766
SKU114,skincare,35.815819,52,897,1871.733378
SKU115,haircare,67.800333,34,524,8182.464001
SKU116,cosmetics,0.0,11,259,8935.522147
SKU117,cosmetics,24.505999,38,536,6658.459962
SKU118,haircare,0.0,81,411,10835.770186
SKU119,cosmetics,79.962858,43,547,4492.83083
SKU120,haircare,60.060984,106,748,4207.364533
SKU121,haircare,52.869438,0,280,5790.306558
SKU122,skincare,89.017077,46,744,4227.968909
SKU123,haircare,102.759597,34,864,8445.016065
SKU124,cosmetics,50.817767,81,484,6735.796906
SKU125,cosmetics,25.421004,73,482,7866.328323
SKU126,haircare,29.410969,15,971,8173.35294
SKU127,skincare,66.921241,30,80,9008.568367
SKU128,haircare,28.9132,66,230,868.315291
SKU129,haircare,31.571914,46,152,9279.40953
SKU130,haircare,102.470972,74,997,4692.813891
SKU131,cosmetics,48.459837,33,583,2808.401298
SKU132,cosmetics,62.283888,106,227,2391.653811
SKU133,skincare,91.186574,38,319,4681.725991
SKU134,skincare,54.466341,72,604,1616.39998
SKU135,cosmetics,0.0,35,0,1877.589267
SKU136,cosmetics,15.021327,102,744,9233.588581
SKU137,skincare,21.535171,58,83,8288.609976
SKU138,skincare,116.300664,69,273,4639.057398
SKU139,haircare,98.166578,133,396,4897.043573
SKU140,skincare,22.843104,70,287,6107.810346
SKU141,cosmetics,29.02873,46,649,6259.242656
SKU142,cosmetics,48.235778,69,470,5856.959392
SKU143,skincare,77.051656,15,0,4585.972556
SKU144,skincare,18.322088,25,451,6412.911585
SKU145,skincare,32.995205,63,615,2379.36231
SKU146,haircare,47.321938,43,499,6400.486309
SKU147,cosmetics,69.247263,37,626,5052.110211
SKU148,haircare,55.388818,50,50,7805.218499
SKU149,cosmetics,2.22545,30,1039,8777.076653
SKU150,cosmetics,69.626474,45,1019,2866.334468
SKU151,cosmetics,0.0,20,559,9172.806683
SKU152,haircare,57.463454,63,273,6963.536002
SKU153,cosmetics,19.108989,33,326,6525.20086
SKU154,skincare,46.335743,94,970,4524.438959
SKU155,cosmetics,49.042263,33,525,8742.75878
SKU156,cosmetics,74.287481,54,622,2366.76405
SKU157,skincare,0.0,8,785,8623.016068
SKU158,cosmetics,39.487928,112,576,6945.393009
SKU159,cosmetics,0.0,76,566,8489.780594
SKU160,skincare,79.32591,58,325,5959.586372
SKU161,skincare,11.391937,73,343,1781.410485
SKU162,haircare,51.296574,83,324,5721.840993
SKU163,skincare,122.249005,78,274,576.765873
SKU164,cosmetics,53.255147,65,476,5886.422809
SKU165,cosmetics,62.865603,12,555,7499.378286
SKU166,haircare,61.555904,85,667,5032.45974
SKU167,cosmetics,8.227616,40,983,6038.265278
SKU168,skincare,55.418281,39,501,5361.460868
SKU169,skincare,108.169231,0,470,11736.158173
SKU170,cosmetics,125.903149,39,264,7216.359669
SKU171,skincare,95.692801,99,431,1708.541152
SKU172,cosmetics,36.048788,89,76,9434.400286
SKU173,haircare,65.366747,48,636,6101.204333
SKU174,haircare,46.722782,77,887,9078.39087
SKU175,cosmetics,0.0,30,822,9158.754642
SKU176,cosmetics,51.23055,57,923,7156.926332
SKU177,haircare,57.708494,58,0,2400.72407
SKU178,skincare,120.802687,81,0,5989.308955
SKU179,skincare,0.0,55,532,8024.76436
SKU180,haircare,36.555469,12,757,5080.270133
SKU181,haircare,89.981369,35,193,3483.101847
SKU182,cosmetics,33.095066,72,0,6239.113821
SKU183,cosmetics,43.146139,59,394,3491.202646
SKU184,cosmetics,85.429861,37,625,9186.824141
SKU185,skincare,78.623678,16,0,6963.116812
SKU186,skincare,19.255689,62,939,6808.963272
SKU187,cosmetics,66.107933,0,782,2434.763881
SKU188,skincare,12.588891,41,471,5050.268862
SKU189,skincare,23.416108,41,350,4710.801679
SKU190,cosmetics,64.024412,18,393,4160.39652
SKU191,skincare,75.742669,45,888,5641.785316
SKU192,cosmetics,3.822425,40,0,7212.579793
SKU193,haircare,50.580858,20,533,8427.750194
SKU194,haircare,43.023415,0,735,5190.077715
SKU195,cosmetics,134.152007,31,719,6135.346855
SKU196,cosmetics,74.603971,65,708,2499.471053
SKU197,skincare,58.366745,50,236,1161.397368
SKU198,cosmetics,117.404244,6,352,6407.238853
SKU199,skincare,42.974081,22,524,6067.432192
SKU200,skincare,34.7388,0,499,5737.441726
SKU201,haircare,34.822007,50,610,8390.291429
SKU202,haircare,0.0,83,296,5642.719423
SKU203,cosmetics,92.086481,42,665,7234.573142
SKU204,cosmetics,76.922279,73,485,8711.481886
SKU205,skincare,22.1138,78,120,11511.930119
SKU206,skincare,34.909373,27,479,4846.406473
