shipment_id,sku,shipping_time_days,shipping_carrier,shipping_cost,transportation_mode,route,total_cost
1,SKU0,4,Carrier B,2.956572139430807,Road,Route B,187.75207545920392
2,SKU1,2,Carrier A,9.71657477143131,Road,Route B,503.0655791496692
3,SKU2,2,Carrier B,8.054479261732155,Air,Route C,141.92028177151906
4,SKU3,6,Carrier C,1.7295685635434288,Rail,Route A,254.77615921928663
5,SKU4,8,Carrier A,3.890547915870672,Air,Route A,923.4406317119222
6,SKU5,3,Carrier B,4.444098864382293,Road,Route A,235.4612367355375
7,SKU6,8,Carrier C,3.880763302952003,Sea,Route A,134.36909686103172
8,SKU7,1,Carrier B,2.3483387844177805,Road,Route C,802.0563118175586
9,SKU8,7,Carrier C,3.4047338570830266,Sea,Route B,505.55713422546415
10,SKU9,1,Carrier A,7.166645291048216,Rail,Route B,995.9294614986416
11,SKU10,2,Carrier C,8.673211211278613,Road,Route B,806.103177702923
12,SKU11,1,Carrier A,4.523943124316663,Air,Route A,126.72303340940724
13,SKU12,4,Carrier A,1.325274010184522,Road,Route B,402.9687890737706
14,SKU13,9,Carrier A,9.537283061108338,Road,Route B,547.2410051609685
15,SKU14,5,Carrier B,2.039770189449332,Air,Route B,929.2352899608896
16,SKU15,7,Carrier B,2.4220397232752044,Sea,Route B,127.8618000016254
17,SKU16,1,Carrier B,4.191324585705502,Air,Route A,865.5257797712403
18,SKU17,9,Carrier C,3.585418958232342,Air,Route C,670.9343907924103
19,SKU18,8,Carrier C,4.339224714110709,Sea,Route A,593.4802587206518
20,SKU19,3,Carrier A,4.742635882841877,Road,Route C,477.3076310909034
21,SKU20,6,Carrier A,8.87833465092684,Air,Route B,493.87121531620585
22,SKU21,6,Carrier B,6.037883769218298,Air,Route C,523.360914720158
23,SKU22,10,Carrier A,9.56764892092304,Rail,Route C,205.57199582694707
24,SKU23,7,Carrier A,2.924857601145554,Rail,Route A,196.32944611241268
25,SKU24,8,Carrier C,9.741291689284369,Air,Route A,758.7247726029383
26,SKU25,3,Carrier C,2.231073681281728,Road,Route B,458.535945739209
27,SKU26,4,Carrier B,6.507548621078551,Rail,Route A,617.8669164583772
28,SKU27,8,Carrier C,7.406750952998074,Sea,Route B,762.4591821556837
29,SKU28,4,Carrier B,9.898140508069222,Air,Route A,123.43702751182708
30,SKU29,7,Carrier B,8.100973145397031,Road,Route B,764.9353759407081
31,SKU30,7,Carrier B,8.954528315318015,Road,Route C,880.080988247161
32,SKU31,4,Carrier B,2.6796609649814065,Rail,Route C,609.3792066184267
33,SKU32,4,Carrier C,6.599104901238584,Road,Route A,761.1739095148776
34,SKU33,9,Carrier C,4.85827050343664,Sea,Route A,371.255295519871
35,SKU34,7,Carrier A,1.019487570822119,Road,Route B,510.3580004335235
36,SKU35,8,Carrier C,5.288189990327409,Sea,Route C,553.4204712303558
37,SKU36,3,Carrier B,2.107951267159081,Air,Route C,403.8089742481805
38,SKU37,9,Carrier A,1.5326552735904306,Sea,Route A,183.9329680435944
39,SKU38,5,Carrier B,9.235931437249228,Air,Route B,339.6728699486061
40,SKU39,3,Carrier A,5.562503778830384,Air,Route B,653.6729945520332
41,SKU40,8,Carrier C,7.229595139736474,Road,Route A,529.8087239806919
42,SKU41,8,Carrier B,5.773263743766654,Sea,Route A,275.5243711313098
43,SKU42,4,Carrier C,7.526248326851508,Road,Route A,635.6571205019919
44,SKU43,9,Carrier B,3.6940212683884543,Air,Route A,716.0441197593407
45,SKU44,6,Carrier C,7.577449657376693,Rail,Route A,610.4532696192277
46,SKU45,6,Carrier B,5.21515500871191,Rail,Route A,495.305697028474
47,SKU46,8,Carrier B,4.070955837084083,Road,Route B,380.4359371119643
48,SKU47,9,Carrier B,8.97875075594997,Rail,Route A,581.6023550505868
49,SKU48,3,Carrier C,7.0958331565551385,Rail,Route B,768.65191395437
50,SKU49,6,Carrier C,2.5056210329009154,Rail,Route A,336.8901685199779
51,SKU50,10,Carrier A,6.247860914975991,Rail,Route B,496.24865029194046
52,SKU51,1,Carrier A,4.783000557947665,Road,Route A,694.9823175794459
53,SKU52,1,Carrier B,8.631052179768947,Air,Route C,602.8984988383834
54,SKU53,3,Carrier B,1.0134865660958965,Air,Route B,750.7378406682709
55,SKU54,3,Carrier B,4.305103471287636,Road,Route B,814.0699965821875
56,SKU55,5,Carrier A,5.014364955030907,Sea,Route B,323.01292795247883
57,SKU56,5,Carrier C,1.7744297140717396,Air,Route B,832.2108087060217
58,SKU57,1,Carrier B,9.16055853538187,Rail,Route A,482.1912386025281
59,SKU58,7,Carrier A,4.93843856471209,Road,Route B,110.36433523136472
60,SKU59,7,Carrier B,7.293722596867728,Air,Route A,312.5742736100933
61,SKU60,8,Carrier C,4.3813681581023145,Rail,Route A,430.1690969751365
